Qty,Item Description,Carbohydrates(g),Fiber(g),Protein(g),Fat(g),Unit Price
26,ADABI PERENCAH SUP SIAM 40G,5.16,2.2,1.92,3.2,RM1.70
27,ADABI PERENCAH TOM YAM PUTIH 40G,38.64,7.56,8.96,22.68,RM1.30
28,ADABI PERENCAH TOM YAM SEAFOOD 200G,138.4,0.0,16.8,58.4,RM5.00
29,ADABI PERENCAH TOM YAM SEAFOOD 40G,207.6,0.0,25.2,87.6,RM1.30
30,"ADABI SERBUK KARI UDANG,KETAM & IKAN KERING 24G",48.24,43.2,20.016,13.968,RM1.06
31,ADABI SERBUK KUNYIT 250G,827.5,146.25,97.5,55.0,RM5.50
32,ADABI T/GORENG SERBAGUNA 180G,93.6,7.2,36.0,7.2,RM1.80
33,AL-AALI FROZEN BONELESS BUFFALO MEAT 900GM,0.0,0.0,236.7,175.5,RM10.75
34,ALI SOUR PLUM 12PCS,326.4,0.0,5.52,0.0,RM3.60
35,ALIBABA COLORFUL COIN CHOC 300PCS,468.72,0.0,28.08,211.68,RM14.80
36,ALIBABA DIDI CLUD STICK 10PCS,96.0,0.0,72.0,12.0, RM1.58 
37,ALIBABA DIDI JELLY 500G,2000.0,0.0,175.0,150.0, RM5.40 
38,ALIBABA DRINK POP CANDY 24PCS,813.24,0.0,0.0,0.0, RM7.10 
39,ALIBABA DRINK POP CANDY 60PCS (BOTOL),451.8,0.0,0.0,0.0, RM17.60 
40,ALIBABA FOOT & FINGER LOLLIPOP 24PCS,2349.36,0.0,0.0,0.0, RM7.10 
41,ALIBABA FRUIT JELLY 100PCS,1800.0,0.0,0.0,0.0, RM5.04 
42,ALIBABA FRUIT JELLY 245GM,127.89,0.0,0.686,0.0, RM0.75 
43,ALIBABA FRUIT PLATE 40PCS,356.16,0.0,0.0,0.0, RM11.80 
44,ALIBABA FRUIT PUDDING 100PCS,3600.0,0.0,0.0,0.0, RM5.04 
45,ALIBABA GARY CHOC SANDWICH 500G,2718.0,0.0,198.0,1395.0, RM12.90 
46,ALIBABA JELLY DRINK 90MLX20PCS,640.0,0.0,0.0,0.0, RM7.10 
47,ALIBABA MELON SEEDS CHOC 1000G,417.0,0.0,85.1,134.0, RM17.70 
48,ALIBABA MISAKI POWDER CANDY 60CUPS,322.56,0.0,0.0,0.72, RM4.60 
49,ALIBABA MIX TOP LOLLIPOPS 50+4PCS,336.6,0.0,12.0,12.0, RM4.70 
50,ALIBABA NATA DRINK 12PCS,19.2,0.0,0.0,0.0, RM4.70 
51,ALIBABA SUPER POP FRUIT FLAVOR,409.08,0.0,0.0,0.0, RM30.00 
52,ALIBABA VIVI JELLY NATA 12PCS,940.8,0.0,48.0,0.0, RM3.75 
53,ALIBABA VIVI JELLY NATA G+S 24PCS,940.8,0.0,48.0,0.0, RM7.10 
54,ALIBABA VIVI JELLY NATA M+L 24PCS,940.8,0.0,48.0,0.0, RM7.10 
55,ALIBABA ZIZI JELLY NATA DE COCO 12PCS,76.8,15.36,0.0,0.0, RM3.70 
56,ALICAFE 250ML,110.8,0.0,20.4,160.0, RM3.50 
57,ALISHAN KING LONGANS 565G,119.78,0.0,1.695,2.825, RM6.00 
58,ALISHAN PINEAPPLE CUBES 565G,223.74,0.0,0.0,0.0, RM5.25 
