Qty,Item Description,Carbohydrates(g),Fiber(g),Protein(g),Fat(g),Unit Price
289,MAGGI PEDAS GILER TOM YUMMZ 5PCS,224.0,0.0,32.5,88.5, RM8.50 
290,MAGIC LIPSTICK CANDY 30PCS,153.0,0.0,7.8,99.0, RM9.00 
291,MAMA SEDAP BAWANG GORENG 180G,72.0,0.0,9.0,36.0, RM2.50 
292,MAMA SEDAP K/TANAH HANCURAN 300G,579.6,0.0,928.8,1771.2, RM4.40 
293,MAMEE MONSTER LADA HITAM 8PCS,1121.4,0.0,210.6,331.2, RM2.90 
294,MARIGOLD K&T SWEET CREAMER 500G,6923.0,0.0,230.0,1150.0, RM2.92 
295,MARIGOLD KRIMER SEJAT 390G,589.68,0.0,207.48,458.64, RM3.06 
296,MARINA SARDIN 425G,26.775,0.0,167.025,116.025, RM5.86 
297,MARSHMALLOW CHOCOLATE 30PCS,279.0,0.0,18.0,27.0, RM8.80 
298,MCCAIN ORIGINAL FRIES CRINKLE CUT 600G,1122.0,66.0,66.0,330.0, RM8.25 
299,MCCAIN ORIGINAL FRIES STRAIGHT CUT 600G,2992.0,176.0,176.0,616.0, RM8.25 
300,MEG SLICES CHEESE 8SLICES,64.0,0.0,64.0,160.0, RM3.95 
301,MEGA FOOD AUSTRALIAN CHEDDAR 12SLICES,250.0,0.0,925.0,1380.0, RM8.39 
302,MEGA FOOD BUTTER SALTED 250G,0.0,0.0,17.5,1400.0, RM8.40 
303,MEGA FOOD BUTTER UNSALTED 250G,13.5,0.0,13.5,1847.25, RM8.40 
304,MEIJI YAN YAN VANILLA 44G,26.4,0.0,4.4,13.2, RM2.60 
305,MENTOS MINI FRUIT MIX 100PCS,200.0,0.0,0.0,0.0, RM20.50 
306,MENTOS MINI RAINBOW 100PCS,456.0,0.0,24.0,24.0, RM20.50 
307,MI SEDAAP KOREAN SPICY CHICKEN 5PCS,290.0,20.0,40.0,70.0, RM4.84 
308,MILO ORI 240ML (TIN),24.0,1.2,4.8,3.6, RM2.45 
309,MIMI LOLLIPOP 30PCS,330.0,0.0,0.0,0.0, RM9.00 
310,MIMICO JELLY DROPS 350G,903.0,0.0,63.0,10.5, RM3.65 
311,MINI OREO CHOCOLATE 8PCS,336.0,16.0,16.0,96.0, RM6.03 
312,MINI OREO ORIGINAL 8PCS,8064.0,384.0,384.0,2304.0, RM6.03 
313,MISTER POTATO BBQ 75G,74.9,0.0,8.96,48.86, RM2.32 
314,MISTER POTATO HOT & SPICY 22GX20PCS (NEW),1507.44,121.44,150.48,726.0, RM14.20 
315,MISTER POTATO SYOK WAVE SEAFOOD 20PCS (NEW),251.24,20.24,25.08,121.0, RM14.20 
316,MISTER POTATO SYOK WAVE SEAFOOD 65G,426.66,0.0,50.7,251.94, RM2.30 
317,MIX CC STICK CANDY 30PCS,180.0,0.0,0.0,0.0, RM9.00 
318,MIXX KONJAC JELLY 40PCS,1200.0,0.0,0.0,0.0, RM12.00 
319,MORE CHOCO CUBES 55G,134.75,0.0,13.75,93.5, RM1.70 
320,MORE MALTED CUBES 55G,539.0,0.0,55.0,374.0, RM1.70 
321,MORE ROSE BANDUNG CUBES 55G,539.0,0.0,55.0,374.0, RM1.70 
322,MOTOKAR SERBUK JINTAN MANIS 100G,120.0,0.0,60.0,60.0, RM1.40 
323,MOTOKAR SERBUK KUNYIT 250G,905.0,0.0,92.5,56.25, RM3.20 
324,MOTOKAR SERBUK KUNYIT 500G,2896.0,0.0,296.0,180.0, RM6.30 
325,MOTOKAR SERBUK LADA HITAM 100G,198.0,7.5,31.8,10.5, RM5.70 
326,MOTOKAR SERBUK LADA PUTIH 100G,336.0,15.0,52.2,57.6, RM6.70 
327,MOTOKAR SERBUK LADA PUTIH 55G,28.0,1.25,4.35,4.8, RM5.20 
328,MR POTATO CRISPS BBQ 125G,67.25,6.875,7.875,35.125, RM3.55 
329,MR POTATO CRISPS ORI 145G,158.05,15.66,17.4,78.3, RM3.55 
330,MUDIM KICAP ISTIMEWA 2.5KG,750.0,0.0,75.0,0.0, RM11.33 
331,MUDIM SOS CILI PEDAS 2.5KG,875.0,0.0,100.0,0.0, RM11.33 
332,MUNCHY'S C/KER S/WICH BUTTER 313G,3887.46,56.34,394.38,1183.14, RM4.28 
333,MUNCHY'S CHEERMIX 508G,355.6,15.24,45.72,91.44, RM7.10 
334,MUNCHY'S LEXUS CHOCO 190G,752.4,34.2,79.8,262.2, RM4.83 
335,MUNCHY'S LEXUS LEMON CREAM 190G,851.2,39.9,93.1,319.2, RM4.83 
336,MUNCHY'S MARIE CAPPUCCINO 300G,438.0,12.0,54.0,96.0, RM4.33 
337,MUNCHY'S MARIE ORI 300G,219.0,6.0,24.0,48.0, RM4.11 
338,MUNCHY'S VEGE CRACKERS 390G,284.7,7.8,31.2,62.4, RM4.07 
339,NABATI RICHOCO 7GX20PCS,96.6,0.0,9.8,28.0, RM3.40 
340,NESCAFE LATTE 240ML (TIN),17.8,0.0,3.8,1.4, RM2.45 
341,NESCAFE TARIK 240ML (TIN),120.0,0.0,9.5,18.0, RM2.45 
342,NIPS PEANUT&RAISIN CHOC 70G,55.0,15.0,5.0,17.5, RM2.13 
343,NUTRIFRES LYCHEE 1LIT,1664.0,0.0,0.0,0.0, RM8.55 
344,NUTRIFRES PINK GUAVA 1LIT,832.0,0.0,0.0,0.0, RM8.55 
345,NUTRIFRES SEA C/NUT LONGAN 1LIT,832.0,0.0,0.0,0.0, RM8.55 
346,OBH AAA LYCHEE 565G,220.35,0.0,4.52,0.0, RM3.50 
347,OREO PEANUT BUTTER & CHOC 9X29.4G,54.0,2.7,5.4,16.2, RM5.25 
348,OREO SMALL CRUSHED COOKIES PIECES 454G,188.864,8.172,12.712,55.388, RM9.46 
349,ORI BIS BERKRIM STRAW 4808 630G,375.0,6.0,28.5,90.0, RM6.20 
350,ORI BISKUT BERKRIM KOPI PUTIH 420G,563.64,0.0,51.24,194.04, RM4.96 
351,ORI BISKUT BERKRIM STRAWBERI 420G,1690.92,0.0,153.72,582.12, RM4.96 
352,ORI BISKUT BERKRIM SUSU 3221 560G,1127.28,0.0,102.48,388.08, RM6.41 
353,ORI BISKUT SARAPAN CHOCO 4211 375G,754.875,0.0,68.625,259.875, RM4.96 
354,ORI BISKUT SARAPAN SUSU 3641 440G,1180.96,0.0,107.36,406.56, RM4.90 
355,ORI SALTED SAVOURY CRACKER 400G,805.2,0.0,73.2,277.2, RM4.96 
356,ORIENTAL ROTA 30PCS,260.4,8.4,29.4,92.4, RM8.80 
357,ORIENTAL SUPER RING 30PCS,453.6,0.0,58.8,210.0, RM8.80 
358,ORIGINA DAIRY TAMAR MILK 200ML,17.2,1.2,7.2,3.6, RM2.70 
359,ORIGINA VITAMIN 1000MG ORANGE 200ML,4.2,0.0,0.6,0.0, RM2.78 
360,PANDA KERUPUK SINGKONG PEDAS 500G,170.0,0.0,5.0,0.0, RM3.15 
361,PANDA MARSHMALLOW 80PCS,325.6,0.0,9.2,0.0, RM6.60 
362,PANS EGG LOLLIPOP 30PCS,216.2,0.0,0.0,0.0, RM8.80 
363,PEACE LYCHEE KING 565G,248.0,0.0,8.0,0.0, RM6.50 
364,PEARL CANDY 30PCS,210.0,0.0,0.0,0.0, RM8.80 
365,PICK GREEN PEA SNACK 30PCS,1080.0,60.0,270.0,990.0, RM4.60 
366,PLANTA MARGARINE 480G,0.0,0.0,0.0,1572.48, RM10.26 
367,POACHED EGG SHAPE PUDDING JELLY 30PCS,597.0,0.0,0.0,3.0, RM9.00 
368,POWER ROOT 250ML,1027.0,0.0,39.0,0.0, RM53.08 
369,PREGO BUDDIES ANIMAL PASTA 200G,75.8,3.6,11.6,1.2, RM2.28 
370,PREGO BUDDIES OCEAN PASTA 200G,75.8,3.6,11.6,1.2, RM2.28 
371,PREGO CHEESE & HERB 300G (TIN),420.0,0.0,96.0,540.0, RM4.62 
372,PREGO CHEESY ALFREDO 350G,66.0,0.0,4.8,30.4, RM7.15 
373,PREGO MUSHROOM 300G (TIN),74.4,0.0,14.4,16.8, RM4.74 
374,PREGO TRADISI 350G,57.3,0.0,5.1,3.6, RM6.32 
375,PRINCESS MARSHMALLOW 30PCS,2600.0,0.0,104.0,0.0, RM8.80 
376,PRINCESS POPPING CANDY 60PCS,4680.0,0.0,0.0,540.0, RM16.40 
377,QEQE SUSHI GUMMY CANDY 30PCS,215.73,0.0,19.71,0.0, RM7.80 
378,RAFFIE MINI CHICKEN BITES 400G,408.0,0.0,288.0,360.0, RM8.00 
379,RAINBOW SPARY 20PCS,560.0,0.0,0.0,40.0, RM6.00 
380,REX APPLE DRINK 250ML,27.5,0.0,0.0,0.0, RM15.84 
381,REX KACANG PANGGANG 425G,152.15,0.0,35.7,3.4, RM2.51 
382,REX KACANG PEA 425G,106.25,59.5,79.9,6.8, RM2.51 
383,REX ORANGE DRINK 250ML,28.3,0.0,0.8,0.0, RM0.63 
384,REX REXBERRY DRINK 250ML,86.7,0.0,0.3,0.0, RM0.66 
385,RIBENA B'CURRANT PASTILLES 40G,62.8,0.0,6.4,0.0, RM2.89 
386,RICO ASSORTED PUDDING 24PCS,326.4,0.0,0.0,14.4, RM3.65 
387,RICO AUTO-MAN PUDDING 24PCS,504.0,0.0,0.0,36.0, RM3.65 
388,RICO GRAPE PUDDING 24PCS,1350.0,0.0,6.0,54.0, RM3.65 
389,RICO JELLY CUP 100PCS,8000.0,0.0,0.0,0.0, RM5.43 
390,RICO JELLY DRINK 6PCSX75GM,36.0,0.0,0.0,0.0, RM1.87 
391,RICO LONG JELLY 10PCS,60.0,0.0,0.0,0.0, RM1.98 
392,RICO LYCHEE PUDDING 24PCS,2176.0,0.0,0.0,96.0, RM4.02 
393,RICO MANGO PUDDING 24PCS,435.2,0.0,0.0,19.2, RM3.65 
394,RICO MIX FRUIT JELLY 250G,150.0,0.0,0.0,25.0, RM0.83 
395,RICO NATA DE COCO GRAPE 1500G,240.0,0.0,0.0,0.0, RM4.90 
396,RICO NATA DE COCO LYCHEE 1500G,240.0,0.0,0.0,0.0, RM4.90 
397,RICO ORANGE PUDDING 24PCS,217.6,0.0,0.0,9.6, RM3.65 
398,RICO PINEAPPLE PUDDING 24PCS,2176.0,0.0,0.0,96.0, RM4.02 
399,RICO PUDDING CUP 100PCS,800.0,0.0,0.0,0.0, RM5.47 
400,RICO PUDDING CUP 6PCSX75GM,36.0,0.0,0.0,0.0, RM1.87 
401,RICO PUDDING POPPEN 24PCS,336.0,0.0,0.0,24.0, RM4.03 
402,RICO STRAW PUDDING 24PCS,870.4,0.0,0.0,38.4, RM3.65 
403,RICO UMBRELLA PUDDING 24PCS,648.0,0.0,0.0,0.0, RM4.03 
404,RINDU ICE POP 90PCS,9000.0,0.0,0.0,90.0, RM11.00 
405,ROUNDIES CHOCO 250G,888.0,42.0,84.0,460.2, RM4.73 
406,SAJI SOS CILI 500G,750.0,0.0,150.0,0.0, RM3.68 
407,SAJI SOS TOMATO 485G,846.0,0.0,30.0,0.0, RM3.68 
408,SAJIKU GARAM HALUS 1KG,0.0,0.0,0.0,0.0, RM1.00 
409,SAJIKU KUAH ROJAK ASLI 200G,474.4,0.0,35.2,12.8, RM2.50 
410,SAJIKU KUAH ROJAK ASLI 300G,355.8,0.0,26.4,9.6, RM4.10 
411,SAN REMO MACARONI 500G,990.0,41.8,165.0,27.5, RM4.20 
412,SAN REMO SPAGHETTI 500G,90.0,3.8,15.0,2.5, RM4.42 
413,SANWA RAINBOW SOUR BELT 40PCS,83.2,0.0,3.2,0.0, RM7.40 
414,SCH JEJARI UBI KAYU MASIN 1KG,720.0,0.0,10.0,230.0, RM8.50 
415,SCH JEJARI UBI KAYU PEDAS 520G,374.4,0.0,5.2,119.6, RM4.46 
416,SCH KACANG BALI 200G,60.0,0.0,20.0,120.0, RM2.78 
417,SCH KACANG BALI 700G,210.0,0.0,70.0,420.0, RM8.51 
418,SCH KACANG IKAN 700G,371.0,0.0,126.0,161.0, RM7.56 
419,SCH KACANG KOKO 200G,106.0,0.0,36.0,46.0, RM2.47 
420,SCH KACANG MASIN 200G,106.0,0.0,36.0,46.0, RM2.78 
421,SCH KACANG SANTONG 700G,231.0,0.0,161.0,287.0, RM10.29 
422,SCH KACANG SANTONG KARI 200G,132.0,0.0,92.0,164.0, RM3.73 
423,SCH KACANG SANTONG KARI 700G,66.0,0.0,46.0,82.0, RM10.61 
424,SCH KACANG SEPAT ISI 700G,294.0,0.0,145.6,225.4, RM7.56 
425,SCH KACANG SEPAT KULIT 700G,294.0,0.0,145.6,225.4, RM7.56 
426,SCH KACANG SOYA 700G,422.1,0.0,94.5,141.4, RM8.51 
427,SCH KACANG SOYA KARI 200G,120.6,0.0,27.0,40.4, RM2.47 
428,SCH KACANG SOYA KARI 700G,422.1,0.0,94.5,141.4, RM8.51 
429,SCH MURUKU MEE 1KG,1500.0,210.0,390.0,930.0, RM8.20 
430,SCH MURUKU MIXER 250G,104.25,0.0,32.75,50.75, RM2.50 
431,SCH MURUKU SIVEL 250G,104.25,0.0,32.75,50.75, RM2.70 
432,SCH UBI KEPING MASIN 600G,432.0,0.0,6.0,126.0, RM5.45 
433,SCH UBI KEPING PEDAS 600G,432.0,0.0,6.0,126.0, RM5.55 
434,SCH UBI SAMBAL 300G,9750.0,0.0,0.0,4000.0, RM4.60 
435,SCH UBI SAMBAL 600G,1170.0,0.0,0.0,480.0, RM8.00 
436,SEA SNACK CRISPY BBQ 120GSEA SNACK CRISPY BBQ 120G,33.0,0.0,30.0,45.0, RM2.60 
437,SELVA ELBOW DIRSEK 500G,1540.0,55.6,220.0,20.0, RM3.25 
438,SELVA SPAGHETTI KLASIK 500G,11165.0,403.1,1595.0,145.0, RM3.25 
439,SERI PELANGI MARJERIN 1KG,0.0,0.0,0.0,830.0, RM8.00 
440,SNEK-KU TAM TAM 30PCS,510.0,30.0,90.0,270.0, RM9.20 
441,SNEKKU SHOYUEMI ORI 30PCS,564.0,0.0,57.0,246.0, RM9.20 
442,SOHO BREAD CRUMB (ORANGE) 850G+-,1981.35,153.0,76.5,30.6, RM6.90 
443,SOHO BREAD CRUMB (WHITE) 270G,2937.06,226.8,113.4,45.36, RM3.30 
444,SOHO BREAD CRUMB (WHITE) 850G+-,6604.5,510.0,255.0,102.0, RM6.90 
445,SOHO NACHO CHEESE POWDER ORIGINAL 100G,103.8,0.0,38.4,19.6, RM5.60 
446,SOHO NACHO CHEESE POWDER ORIGINAL 300G,467.1,0.0,172.8,88.2, RM14.30 
447,SOHO ROMANO CHEESE POWDER HOT&SPICY 100G,19.65,11.25,223.7,185.95, RM5.60 
448,SOHO ROMANO CHEESE POWDER HOT&SPICY 300G,94.32,54.0,1073.76,892.56, RM14.30 
449,SOUR COOL CHEWY STICK 30PCS,9600.0,0.0,0.0,192.0, RM8.80 
450,SPRITZER SO TINGE TEMBIKAI 325ML,35.75,0.0,0.0,0.0, RM1.07 
451,SPRITZER SPARKLING 325ML,46.0,0.0,0.0,0.0, RM0.75 
452,SQUID GAME MARSHMALLOW 80PCS,4784.0,0.0,4.8,0.0, RM6.60 
453,SQUID GAME OF SUGAR CANDY 30PCS,486.45,0.0,0.0,0.0, RM8.80 
454,SQUID GAME SOFT CANDY 40PCS,1358.72,0.0,119.68,0.0, RM12.00 
455,SQUID LIGHT LOLLIPOP 30PCS,10701.9,0.0,0.0,0.0, RM8.80 
456,SRI MELATI SARDINE 400G,0.0,0.0,48.0,16.0, RM3.46 
457,SSYP BAI MU GUA SI 2KG,4806.0,0.0,120.0,24.0, RM22.50 
458,SSYP BING XUE MEI 2KG,1602.0,0.0,40.0,8.0, RM31.50 
459,SSYP HEI PU TAO LI 2KG,1602.0,0.0,40.0,8.0, RM18.90 
460,SSYP HONG MEI LI 2KG,1602.0,0.0,40.0,8.0, RM24.35 
461,SSYP HONG MEI LI 500G,8010.0,0.0,200.0,40.0, RM6.45 
462,SSYP HUA HE WU YING ZHI 2KG,3204.0,0.0,80.0,16.0, RM32.00 
463,SSYP JIU ZHI CHENG TIAO 2KG,17622.0,0.0,440.0,88.0, RM26.70 
464,SSYP MEI GUI MEI TIAO 500G,48060.0,0.0,1200.0,240.0, RM7.40 
465,SSYP XIANG XI MEI TIAO 2KG,1602.0,0.0,40.0,8.0, RM29.50 
466,STRAWBERRY LOLLIPOP 30PCS,900.0,0.0,0.0,0.0, RM8.80 
467,SUCKING C PACIFIER CANDY 30PCS,90.36,0.0,0.0,0.0, RM8.80 
468,SUGALOVA TASTY LOLLIPOPS 40PCS,89.952,0.0,0.0,0.0, RM6.45 
469,SUKAS BBQ TUBE 300G,1620.0,0.0,234.0,984.0, RM4.90 
470,SUKAS CHEESE FRIES 1KG,381.0,0.0,178.0,13.0, RM13.00 
471,SUKAS K/DHALL 250G,4110.0,0.0,1867.5,101.25, RM4.90 
472,SUKAS KARI CHIPS 550G,1808.4,0.0,821.7,44.55, RM9.20 
473,SUKAS POP CORN 900G,666.0,0.0,99.0,38.7, RM11.20 
474,SUMMER FRESH COLA 10PCS,93.0,0.0,0.0,0.0, RM3.13 
475,SUMMER FRESH COLA BLUE 10PCS,372.0,0.0,0.0,0.0, RM3.13 
476,SUMMER FRESH LIBINA 10PCS,93.0,0.0,0.0,0.0, RM3.13 
477,SUMMER FRESH LYCHEE 10PCS,93.0,0.0,0.0,0.0, RM3.13 
478,SUMMER FRESH ORANGE 10PCS,186.0,0.0,0.0,0.0, RM3.13 
479,SUMMER FRESH S'BERRY I/CREAM POP 6PCS,55.8,0.0,0.0,0.0, RM1.80 
480,SUMMER FRESH SARSI 10PCS,279.0,0.0,0.0,0.0, RM3.13 
481,SUMMER FRESH STRAW 10PCS,93.0,0.0,0.0,0.0, RM3.13 
482,SUMMER FRESH YES! I/C POP B'CURRANT 5PCS,186.0,0.0,0.0,0.0, RM1.90 
483,SUMMER FRESH YES! I/C POP STRAWBERRY 5PCS,46.5,0.0,0.0,0.0, RM1.90 
484,SUMMER FRESH YES! I/C POP TROPICANA 5PCS,232.5,0.0,0.0,0.0, RM1.90 
485,SUNQUICK EPAL 125ML,60.0,0.0,0.0,0.0, RM15.00 
486,SUNQUICK MANDARIN 330ML,376.2,0.0,3.96,0.0, RM2.75 
487,SUNQUICK MIXED MANGO 800ML,61.6,0.0,0.0,0.0, RM6.40 
488,SUNQUICK TROPICAL 330ML,25.0,0.0,0.3,0.3, RM2.75 
489,SUPER KONJAC JELLY 40PCS,140.0,0.0,0.0,0.0, RM12.00 
490,TA GE BOWL PP 32 100PCS+-,139.392,0.0,24.192,112.32, RM10.70 
491,TC MURUKU IKAN PEDAS 24PCS,2787.84,0.0,483.84,2246.4, RM4.40 
492,TC MURUKU IKAN SOTONG 24PCS,20000.0,0.0,0.0,0.0, RM4.40 
493,TCC GULA CASTER 1KG,299.0,0.0,8.5,53.0, RM5.20 
494,TEAPOT EXTRA KRIMER MANIS 500G,960.0,0.0,40.0,0.0, RM2.97 
495,TEN2 MARSHMALLOWS FLOWER VANIILA 1KG,240.0,3.8,11.6,25.2, RM23.60 
496,THUMBS C/PEANUT GARLIC 55G,170.0,76.0,232.0,504.0, RM1.76 
497,THUMBS C/PEANUT SEAWEED 55G,153.0,68.4,208.8,453.6, RM1.76 
498,THUMBS C/PEANUT TERIYAKI 55G,161.5,72.2,220.4,478.8, RM1.76 
499,TIGER BISKUAT SUSU 75G,108.0,0.0,9.0,28.5, RM0.97 
500,TOKI TOMATO CORN STICK 30PCS,2562.0,0.0,204.0,774.0, RM7.30 
501,TOKI TOMATO CORN STICK 60G,1281.0,0.0,102.0,387.0, RM1.02 
502,TONGUE GUMMY 30PCS,4410.0,0.0,420.0,0.0, RM8.80 
503,TREMBLING KING HAMBURGER 20PCS,946.8,0.0,897.6,0.0, RM20.00 
504,TUMBLER CANDY 30PCS,385.44,0.0,0.0,0.0, RM8.80 
505,TWISTIES BBQ 24PCS,907.2,0.0,90.72,387.36, RM7.50 
506,TWISTIES BBQ 65G,63.0,0.0,6.3,26.9, RM1.50 
507,TWISTIES BIG CHEESE 65G,69.6,0.0,7.2,37.6, RM1.50 
508,TWISTIES CHEESE 24PCS,6681.6,0.0,691.2,3609.6, RM7.50 
509,TYD BUBBLE GUM ROLL 24PCS,120.0,0.0,0.0,0.0, RM7.04 
510,ULTRAMAN BURST BUBBLE GUM 60PCS,3360.0,0.0,0.0,0.0, RM17.60 
511,UNICORNS LOLLIPOP LIGHT STICK 30PCS,880.0,0.0,0.0,0.0, RM8.80 
512,UPIN GUMMY 15G,972.0,0.0,81.0,256.5, RM0.30 
513,V-KA CUTE/FRUITY MARSHMALLOW 24PCS,720.0,0.0,0.0,0.0, RM7.10 
514,V-KA FRUIT CANDY LIME / GRAPE MINT FLAVOR 24PCS,1320.0,0.0,0.0,0.0, RM7.10 
515,V-KA JOLA LOLLIPOP 24PCS,120.0,0.0,0.0,0.0, RM22.80 
516,V-KA LOLLIPOP 1PCS,40.0,0.0,0.0,0.0, RM0.95 
517,V-KA LOLLIPOP 24PCS,720.0,0.0,0.0,0.0, RM22.80 
518,V-KA MIX SOFT GUMMY CANDY 30PCS,234.0,0.0,0.0,0.0, RM8.50 
519,V-KA PIZZA GUMMY BURGER MONSTER 30+2PCS,234.0,0.0,0.0,0.0, RM8.50 
520,V-SOY MULTI-GRAIN 1000ML,450.0,30.0,150.0,180.0, RM5.34 
521,V-SOY MULTI-GRAIN NO SUGAR 1000ML,525.0,35.0,175.0,210.0, RM5.34 
522,V-SOY NO SUGAR 200ML,75.0,5.0,25.0,30.0, RM4.95 
523,VAN HOUTEN COCOA POWDER 100G,180.0,136.0,94.0,84.0, RM7.14 
524,VF MIX 150G,13.5,4.5,12.0,22.5, RM5.30 
525,VFOODS BIS ICE GEM 4KG,3428.0,80.0,200.0,124.0, RM44.00 
526,VFOODS LATTE ROLLED FANCY STICK 5KG,4285.0,100.0,250.0,155.0, RM52.50 
527,VFOODS MINI TIN CHOCO BEAR 430G,1474.04,34.4,86.0,53.32, RM8.50 
528,VFOODS MINI TIN COOKIES WHITE CREAM 430G,2211.06,51.6,129.0,79.98, RM9.80 
529,VFOODS MINI TIN DURIAN CREAM COOKIES 430G,2211.06,51.6,129.0,79.98, RM9.63 
530,VFOODS MINI TIN MINI GOLDEN P'APPLE 430G,368.51,8.6,21.5,13.33, RM8.50 
531,VFOODS MINI TIN SEASONING CHICKEN STICKS 430G,737.02,17.2,43.0,26.66, RM9.00 
532,VFOODS MINI TIN V-O BLACK CHOC 430G,368.51,8.6,21.5,13.33, RM9.00 
533,VFOODS SMALL TIN ICE GEM BISC 1.2KG,1028.4,24.0,60.0,37.2, RM14.70 
534,VITAMILK D/CHOCO SHAKE 300ML,353.1,0.0,99.0,62.7, RM1.84 
535,WAKAKA GUMMY 60PCS,936.0,0.0,0.0,0.0, RM17.60 
536,WALL' MOCHI CHEWY 45ML,54.0,0.9,2.1,3.9, RM1.60 
537,WALL'S CORNETTO CHOCO 110ML (NEW),273.0,13.0,39.0,39.0, RM2.45 
538,WALL'S CORNETTO DARK CHOCO BROWNIE 107ML,112.0,8.0,12.0,24.0, RM3.04 
539,WALL'S CORNETTO VANILA 110ML (NEW),224.0,8.0,24.0,80.0, RM2.45 
540,WALL'S SOLERO LIME&VANILA SPLIT 64ML,24.8,0.0,0.0,7.2, RM0.91 
541,WALL'S TEALIVE BOBA 65ML,97.2,0.0,0.0,0.0, RM2.00 
542,WALL'S TOPTEN CHOC 70ML,15.0,1.0,2.0,12.0, RM1.77 
543,WATER GAME 8PCS,45.0,3.0,6.0,36.0, RM2.90 
544,WATERMELON BOOM BUBBLE GUM 30PCS,4680.0,0.0,0.0,0.0, RM8.80 
545,WESLSY FRUIT PULP JUICE 10PCS,180.0,0.0,0.0,0.0, RM3.10 
546,WHISKAS OCEAN FISH FLAVOUR 480G 1+YEARS,1645.44,38.4,96.0,59.52, RM6.38 
547,WHISKAS TUNA FLAVOUR 1.2KG,1028.4,24.0,60.0,37.2, RM12.67 
548,WHISKAS TUNA FLAVOUR 480G 1+YEARS,1645.44,38.4,96.0,59.52, RM6.38 
549,WHISTLE & POPPING CANDY 30PCS,13369.2,312.0,780.0,483.6, RM8.80 
550,WIN2 MAGIC CRUNCH STRAW 70G,347.9,22.54,16.17,99.96, RM1.05 
551,WIN2 POTATO CRISP CURRY 30PCS,4939.2,158.4,511.2,1562.4, RM8.00 
552,WIN2 POTATO CRISP TOMATO 30PCS,9878.4,316.8,1022.4,3124.8, RM8.00 
553,WINGO CHOC SWEET HEART 580G,174.0,0.0,11.6,46.4, RM9.79 
554,WINGO CHOCOLATE BISCUIT 200G,720.0,0.0,48.0,192.0, RM4.84 
555,WINGO STICK CHOC WITH DURIAN 40PCS,435.0,0.0,52.5,22.5, RM6.60 
556,WINKIDZ APPLE 250ML,72.5,0.0,8.75,3.75, RM2.01 
557,WQX PAI XIANG SHI MEI 2KG,3204.0,0.0,80.0,16.0, RM26.00 
558,WQX QING REN MEI 2KG,1602.0,0.0,40.0,8.0, RM28.00 
559,YEO'S BAKED BEANS 425G,72.25,17.0,15.3,1.7, RM3.87 
560,YEO'S C/THEMUM TEA 300ML (TIN),21.0,0.0,0.0,0.0, RM1.22 
561,YEO'S CHRYSANTHEMUM TEA 250ML (KOTAK),84.0,0.0,0.0,0.0, RM18.20 
562,YEO'S ICED LEMON TEA 300ML (TIN),34.0,0.0,0.0,0.0, RM1.11 
563,YEO'S KARI AYAM 145G,16.24,0.0,34.22,21.75, RM3.05 
564,YEO'S LYCHEE 250ML (KOTAK),25.5,0.0,0.0,0.0, RM0.77 
565,YEO'S SARDINES 155G,17.36,0.0,25.73,11.47, RM3.31 
566,YEO'S SOY BEAN MILK 300ML (TIN),26.0,1.0,6.0,3.5, RM1.15 
567,YEO'S YEOGURT G/APPLE 250ML,35.0,0.0,1.0,1.3, RM1.39 
568,YEO'S YEOGURT GRAPE 250ML,35.0,0.0,1.0,1.3, RM1.48 
569,YOGEE KONJAC JELLY APPLE 200G (10'S),288.4,0.0,0.0,0.0, RM3.00 
570,YOGEE KONJAC JELLY LEMON 200G (10'S),82.4,0.0,0.0,0.0, RM3.00 
571,YOYO MARSHMALLOW 30PCS,1416.0,0.0,24.0,0.0, RM8.80 
572,ZIZI KUACI BUTTER 108G,123.3,0.0,265.5,460.8, RM1.90 
573,ZIZI KUACI CARAMEL 108G,232.9,0.0,501.5,870.4, RM1.90 
