Date,Carbohydrates,Fiber,Protein,Fat,Item Description,Item Code,Quantity,Unit Price,Carbohydrates (g),Fiber (g),Protein (g),Fat (g),Total Price
16/2/2023,43.5,0,124.5,505.5,BEGA TATURA CREAM CHEESE 250G,PKS5893,6, RM8.80 ,7.25,0,20.75,84.25,52.80
18/1/2023,225,0,0,0,BESBITE MILK ICE TUBE 450ML,PKS2544,2, RM2.10 ,112.5,0,0,0,4.20
6/2/2023,112.5,0,0,0,BESBITE MILK ICE TUBE 450ML,PKS2544,1, RM2.10 ,112.5,0,0,0,2.10
18/1/2023,1313.28,0,43.776,18.432,BESBITE MIXED FRUIT PUDDING 6X120G,PKS2286,8, RM3.80 ,164.16,0,5.47,2.3,30.40
20/3/2023,180,0,20,20,BESBITE POP-POP ICE TUBE 750ML,PKS5637,2, RM1.70 ,90,0,10,10,3.40
6/2/2023,900,0,100,100,BESBITE POP-POP ICE TUBE 750ML,PKS5637,10, RM1.70 ,90,0,10,10,17.00
17/7/2023,84.15,0,0.45,0,BESBITE/HOGOMAS MILK ICE TUBE 450ML,PKS2544,1, RM2.00 ,84.15,0,0.45,0,2.00
19/5/2023,140.25,0,0.75,0,BESBITE/HOGOMAS POP-POP ICE TUBE 750ML,PKS5637,1, RM1.70 ,140.25,0,0.75,0,1.70
9/3/2023,376.2,0,21.6,0,BIHO LAKSA BERAS (M) 450G,PKS1231,1, RM2.51 ,376.2,0,21.6,0,2.51
16/8/2023,3379.2,76.8,153.6,768,BIKA BIKO AYAM C/STICK 80PCS (2191),PKS0172,16, RM10.00 ,211.2,4.8,9.6,48,160.00
16/8/2023,3379.2,76.8,153.6,768,BIKA BIKO BBQ C/STICK 80PCS (2184),PKS0171,16, RM10.00 ,211.2,4.8,9.6,48,160.00
16/5/2023,440,10,20,100,BIKA CHICKEN CRACKER 1KG,PKS1238,1, RM13.80 ,440,10,20,100,13.80
16/8/2023,1584,36,72,360,BIKA CHICKEN F/SNACK (G) 30PCS,PKS0174,10, RM8.60 ,158.4,3.6,7.2,36,86.00
16/8/2023,3168,72,144,720,BIKA CHICKEN F/SNACK (R) 30PCS,PKS0175,20, RM8.60 ,158.4,3.6,7.2,36,172.00
16/8/2023,2476.8,108,0,864,BIKA FIKA CHOCO PIE 30PCS,PKS0173,10, RM8.60 ,247.68,10.8,0,86.4,86.00
19/9/2023,1360.8,0,45.36,0,BINGO KING LYCHEES 567G (OBH),PKS4919,8, RM3.75 ,170.1,0,5.67,0,30.00
2/5/2023,680.4,0,22.68,0,BINGO KING LYCHEES 567G (OBH),PKS4919,4, RM4.42 ,170.1,0,5.67,0,17.68
2/5/2023,384,0,768,768,BINGO SARDINE 400G,PKS4485,16, RM3.00 ,24,0,48,48,48.00
16/5/2023,560,0,0,0,BIRDIE EGG BUBBLE GUM 30PCS,PKS1542,1, RM8.80 ,560,0,0,0,8.80
7/2/2023,560,0,0,0,BIRDIE EGG BUBBLE GUM 30PCS,PKS1542,1, RM8.80 ,560,0,0,0,8.80
3/1/2023,214.2,0,0,0,BLOW BUBBLE GUM 50PCS,PKS4411,3, RM14.50 ,71.4,0,0,0,43.50
9/9/2023,173.55,1.95,1.95,17.55,BORO COOKIES C/NUT ORI 195G,PKS0290,1, RM2.80 ,173.55,1.95,1.95,17.55,2.80
11/3/2023,210,20,20,20,BUMIMAS FRENCH FRIED CRINKLE CUT 1KG,PKS3462,1, RM8.50 ,210,20,20,20,8.50
21/2/2023,840,0,0,0,BURST ANGRY BITE BUBBLE GUM 60PCS,PKS6339,3, RM17.60 ,280,0,0,0,52.80
3/2/2023,369.6,0,39,159,CADBURY D/MILK MARVC JELLY POP 150G,PKS5644,4, RM7.40 ,92.4,0,9.75,39.75,29.60
7/3/2023,140.4,0,18.72,74.4,CADBURY DAIRY MILK BUBBLY 120G,PKS4862,2, RM7.40 ,70.2,0,9.36,37.2,14.80
3/2/2023,29.25,0,3.9,15.5,CADBURY DAIRY MILK BUBBLY 50G,PKS4861,1, RM2.73 ,29.25,0,3.9,15.5,2.73
3/6/2023,38.11,2.146,7.178,24.79,CADBURY DAIRY MILK HAZELNUT 37G,PKS2660,2, RM2.41 ,19.06,1.07,3.59,12.4,4.82
7/3/2023,183.96,0,11.844,46.62,CADBURY SHOTS 18G,PKS5909,14, RM0.82 ,13.14,0,0.85,3.33,11.48
7/3/2023,292,0,18.8,74,CADBURY SHOTS 39.6G,PKS6123,10, RM1.65 ,29.2,0,1.88,7.4,16.50
9/9/2023,100.1,0,15.54,6.3,CAP BULAN BINTANG MEE SANGGUL 140G,PKS0538,1, RM1.70 ,100.1,0,15.54,6.3,1.70
29/3/2023,3445,0,590,60,CAP BUNGA KERTAS KENTUCKY T/G SERBAGUNA ORI 1KG,PKS5318,5, RM5.50 ,689,0,118,12,27.50
29/3/2023,2157,0,321,0,CAP BUNGA KERTAS KENTUCKY T/G SERBAGUNA PEDAS 1KG,PKS5319,3, RM5.50 ,719,0,107,0,16.50
21/2/2023,2397,0,192,18,CAP CINTA KETUPAT NASI MINI 600G,PKS6074,5, RM4.49 ,479.4,0,38.4,3.6,22.45
10/3/2023,1552.5,129.375,139.725,0,CAP KIPAS UDANG K/L MASIN 345ML,PKS1281,15, RM4.53 ,103.5,8.63,9.32,0,67.95
17/7/2023,382.5,0,170,0,CAP LANG JAGUNG MANIS 425G,PKS0724,10, RM3.00 ,38.25,0,17,0,30.00
29/3/2023,247.5,0,120,127.5,CAP O SERBUK KARI MASAK MERAH 250G,PKS2734,3, RM4.30 ,82.5,0,40,42.5,12.90
29/3/2023,110,0,35,27.5,"CAP O SERBUK KARI UDANG,KETAM&IKAN KERING 250G",PKS2735,1, RM4.30 ,110,0,35,27.5,4.30
29/3/2023,173.25,0,26.75,19.25,CAP O SERBUK PERENCAH SUP 250G,PKS2739,1, RM5.10 ,173.25,0,26.75,19.25,5.10
16/8/2023,85.8,0,112.2,158.4,CAP RAMA RAMA KUACI 110G,PKS0437,6, RM21.50 ,14.3,0,18.7,26.4,129.00
23/5/2023,2000,0,75,0,CARTOON MARSMALLOW 30PCS,PKS1437,5, RM8.20 ,400,0,15,0,41.00
23/2/2023,5658.96,0,0,0,CED PURE HONEY 380G,PKS5047,17, RM8.60 ,332.88,0,0,0,146.20
7/3/2023,99.4,0,8.4,28.7,CHIPSMORE DOUBLE CHOCO 153G,PKS0523,1, RM3.56 ,99.4,0,8.4,28.7,3.56
10/2/2023,81.2,0,7.28,27.44,CHIPSMORE MINI HALZENUT 80G,PKS1466,1, RM1.86 ,81.2,0,7.28,27.44,1.86
3/2/2023,210.528,0,18.36,65.484,CHIPSMORE ORIGINAL 153G,PKS0524,2, RM3.56 ,105.26,0,9.18,32.74,7.12
23/5/2023,760,0,40,280,CHOCO BALL EARTH / GOLD / MIX COLOUR 100PCS,PKS6176,1, RM7.00 ,760,0,40,280,7.00
5/9/2023,760,0,40,280,CHOCO BALL EARTH / GOLD / MIX COLOUR 100PCS,PKS6176,1, RM7.00 ,760,0,40,280,7.00
3/1/2023,1520,0,80,560,CHOCO BALL EARTH / GOLD / MIX COLOUR 100PCS,PKS6176,2, RM7.00 ,760,0,40,280,14.00
3/1/2023,760,0,40,280,CHOCO BALL EARTH / GOLD / MIX COLOUR 100PCS,PKS6176,1, RM7.00 ,760,0,40,280,7.00
1/8/2023,760,0,40,280,CHOCO BALL EARTH / GOLD / MIX COLOUR 100PCS,PKS6176,1, RM7.00 ,760,0,40,280,7.00
1/2/2023,1520,0,80,560,CHOCO BALL EARTH / GOLD / MIX COLOUR 100PCS,PKS6176,2, RM7.00 ,760,0,40,280,14.00
30/3/2023,13.6,0,122.4,68,CINTA SARDIN 425G,PKS0745,2, RM4.70 ,6.8,0,61.2,34,9.40
13/2/2023,472.72,15.2,74.48,157.32,CINTAN ASAM LAKSA 5PCS,PKS2040,2, RM5.33 ,236.36,7.6,37.24,78.66,10.66
24/2/2023,256.88,7.6,34.58,57.76,CINTAN PERISA ASLI 5PCS,PKS0973,1, RM3.00 ,256.88,7.6,34.58,57.76,3.00
24/2/2023,3009.6,136.8,547.2,1026,CINTAN PERISA KARI 5PCS,PKS0972,18, RM3.65 ,167.2,7.6,30.4,57,65.70
16/1/2023,1337.6,60.8,243.2,456,CINTAN PERISA KARI 5PCS,PKS0972,8, RM3.65 ,167.2,7.6,30.4,57,29.20
13/2/2023,934.8,30.4,174.8,288.8,CINTAN TOM YAM 5PCS,PKS1985,4, RM5.33 ,233.7,7.6,43.7,72.2,21.32
19/6/2023,270,0,42.885,120.24,CJH KOKI KOKO CHIPS 450G,PKS0119,1, RM10.50 ,270,0,42.89,120.24,10.50
19/5/2023,270,0,42.885,120.24,CJH KOKI MAZOLA 450G,PKS0118,1, RM10.50 ,270,0,42.89,120.24,10.50
19/5/2023,420.8,0,45.6,292,CJH KUIH LOYANG 200GM,PKS6268,4, RM10.50 ,105.2,0,11.4,73,42.00
3/7/2023,210.4,0,22.8,146,CJH KUIH LOYANG 200GM,PKS6268,2, RM10.50 ,105.2,0,11.4,73,21.00
22/8/2023,4435.2,0,340.2,0,COLOR BAR MARSHMALLOW 30PCS,PKS5910,14, RM8.80 ,316.8,0,24.3,0,123.20
4/7/2023,240.975,12.495,23.562,63.189,CREAM-O COOKIES DARK CHOCOLATE 119G,PKS0454,3, RM2.26 ,80.33,4.17,7.85,21.06,6.78
4/7/2023,431.97,24.99,41.412,196.35,CREAM-O COOKIES ORI 119G,PKS0450,6, RM2.26 ,72,4.17,6.9,32.73,13.56
17/7/2023,585.8,0,15.15,101,DAIRY CHAMP KRIMER MANIS 505G,PKS2861,2, RM2.85 ,292.9,0,7.58,50.5,5.70
4/8/2023,7908.3,0,204.525,1363.5,DAIRY CHAMP KRIMER MANIS 505G,PKS2861,27, RM2.85 ,292.9,0,7.58,50.5,76.95
17/1/2023,3750.75,0,150.03,0,DAQIAN MARSHMALLOW 500G,PKS3725,9, RM7.10 ,416.75,0,16.67,0,63.90
11/7/2023,416.75,0,16.67,0,DAQIAN MARSHMALLOW 500G,PKS3725,1, RM7.10 ,416.75,0,16.67,0,7.10
1/2/2023,416.75,0,16.67,0,DAQIAN MARSHMALLOW 500G,PKS3725,1, RM7.10 ,416.75,0,16.67,0,7.10
7/9/2023,150,37.5,0,0,DESA ALPHA NATA DE COCO LYCHEE 1.5KG,PKS3647,1, RM4.90 ,150,37.5,0,0,4.90
7/9/2023,150,37.5,0,0,DESA ALPHA NATA DE COCO STRAWBERRY 1.5KG,PKS3646,1, RM4.90 ,150,37.5,0,0,4.90
