Date,Carbohydrates,Fiber,Protein,Fat,Item Description,Unit Price
16/1/2023,1337.6,60.8,243.2,456,CINTAN PERISA KARI 5PCS, RM3.65 
16/1/2023,7720,0,710,290,JATI BERAS JELAPANG 10KG, RM27.72 
16/1/2023,560,0,72,132,KIMBALL SOS KEJU 1KG, RM9.55 
16/1/2023,180,136,94,84,VAN HOUTEN COCOA POWDER 100G, RM7.14 
17/1/2023,3750.75,0,150.03,0,DAQIAN MARSHMALLOW 500G, RM7.10 
17/1/2023,456,0,24,24,MENTOS MINI RAINBOW 100PCS, RM20.50 
18/1/2023,468.72,0,28.08,211.68,ALIBABA COLORFUL COIN CHOC 300PCS,RM14.80
18/1/2023,900,0,0,0,ALIBABA FRUIT JELLY 100PCS, RM5.04 
18/1/2023,3600,0,0,0,ALIBABA FRUIT PUDDING 100PCS, RM5.04 
18/1/2023,940.8,0,48,0,ALIBABA VIVI JELLY NATA G+S 24PCS, RM7.10 
18/1/2023,5688,0,504,1512,APOLLO CHOCO STICK WAFER 1044A 30PCS, RM5.80 
18/1/2023,225,0,0,0,BESBITE MILK ICE TUBE 450ML, RM2.10 
18/1/2023,1313.28,0,43.776,18.432,BESBITE MIXED FRUIT PUDDING 6X120G, RM3.80 
18/1/2023,357.5,0,825,1375,HOGOMAS / BESBITE KUACI 110G, RM1.85 
18/1/2023,290,20,40,70,MI SEDAAP KOREAN SPICY CHICKEN 5PCS, RM4.64 
18/1/2023,96.6,0,9.8,28,NABATI RICHOCO 7GX20PCS, RM3.40 
18/1/2023,132,0,92,164,SCH KACANG SANTONG KARI 200G, RM3.73 
18/1/2023,432,0,6,126,SCH UBI KEPING MASIN 600G, RM5.45 
18/1/2023,1620,0,234,984,SUKAS BBQ TUBE 300G, RM4.90 
18/1/2023,72.5,0,8.75,3.75,WINKIDZ APPLE 250ML, RM2.01 
18/1/2023,41.2,0,0,0,YOGEE KONJAC JELLY APPLE 200G (10'S), RM3.00 
18/1/2023,288.4,0,0,0,YOGEE KONJAC JELLY APPLE 200G (10'S), RM3.00 
18/1/2023,82.4,0,0,0,YOGEE KONJAC JELLY LEMON 200G (10'S), RM3.00 
18/1/2023,232.9,0,501.5,870.4,ZIZI KUACI CARAMEL 108G, RM1.90 
20/1/2023,123.3,0,265.5,460.8,ZIZI KUACI BUTTER 108G, RM1.90 
